FIP,YEAR,STATE,HFR,UNIVERSAL,PERMIT
01,1980,Alabama,0.608,FALSE,FALSE
01,1981,Alabama,0.597,FALSE,FALSE
01,1982,Alabama,0.661,FALSE,FALSE
01,1983,Alabama,0.586,FALSE,FALSE
01,1984,Alabama,0.624,FALSE,FALSE
01,1985,Alabama,0.644,FALSE,FALSE
01,1986,Alabama,0.567,FALSE,FALSE
01,1987,Alabama,0.609,FALSE,FALSE
01,1988,Alabama,0.606,FALSE,FALSE
01,1989,Alabama,0.627,FALSE,FALSE
01,1990,Alabama,0.641,FALSE,FALSE
01,1991,Alabama,0.632,FALSE,FALSE
01,1992,Alabama,0.552,FALSE,FALSE
01,1993,Alabama,0.6,FALSE,FALSE
01,1994,Alabama,0.571,FALSE,FALSE
01,1995,Alabama,0.554,FALSE,FALSE
01,1996,Alabama,0.568,FALSE,FALSE
01,1997,Alabama,0.557,FALSE,FALSE
01,1998,Alabama,0.577,FALSE,FALSE
01,1999,Alabama,0.537,FALSE,FALSE
01,2000,Alabama,0.538,FALSE,FALSE
01,2001,Alabama,0.522,FALSE,FALSE
01,2002,Alabama,0.553,FALSE,FALSE
01,2003,Alabama,0.504,FALSE,FALSE
01,2004,Alabama,0.516,FALSE,FALSE
01,2005,Alabama,0.485,FALSE,FALSE
01,2006,Alabama,0.468,FALSE,FALSE
01,2007,Alabama,0.481,FALSE,FALSE
01,2008,Alabama,0.503,FALSE,FALSE
01,2009,Alabama,0.482,FALSE,FALSE
01,2010,Alabama,0.456,FALSE,FALSE
01,2011,Alabama,0.513,FALSE,FALSE
01,2012,Alabama,0.543,FALSE,FALSE
01,2013,Alabama,0.516,FALSE,FALSE
01,2014,Alabama,0.51,FALSE,FALSE
01,2015,Alabama,0.495,FALSE,FALSE
01,2016,Alabama,0.528,FALSE,FALSE
02,1980,Alaska,0.789,FALSE,FALSE
02,1981,Alaska,0.709,FALSE,FALSE
02,1982,Alaska,0.737,FALSE,FALSE
02,1983,Alaska,0.722,FALSE,FALSE
02,1984,Alaska,0.712,FALSE,FALSE
02,1985,Alaska,0.653,FALSE,FALSE
02,1986,Alaska,0.688,FALSE,FALSE
02,1987,Alaska,0.718,FALSE,FALSE
02,1988,Alaska,0.748,FALSE,FALSE
02,1989,Alaska,0.711,FALSE,FALSE
02,1990,Alaska,0.699,FALSE,FALSE
02,1991,Alaska,0.716,FALSE,FALSE
02,1992,Alaska,0.685,FALSE,FALSE
02,1993,Alaska,0.712,FALSE,FALSE
02,1994,Alaska,0.667,FALSE,FALSE
02,1995,Alaska,0.709,FALSE,FALSE
02,1996,Alaska,0.663,FALSE,FALSE
02,1997,Alaska,0.652,FALSE,FALSE
02,1998,Alaska,0.559,FALSE,FALSE
02,1999,Alaska,0.571,FALSE,FALSE
02,2000,Alaska,0.601,FALSE,FALSE
02,2001,Alaska,0.61,FALSE,FALSE
02,2002,Alaska,0.614,FALSE,FALSE
02,2003,Alaska,0.587,FALSE,FALSE
02,2004,Alaska,0.58,FALSE,FALSE
02,2005,Alaska,0.609,FALSE,FALSE
02,2006,Alaska,0.551,FALSE,FALSE
02,2007,Alaska,0.577,FALSE,FALSE
02,2008,Alaska,0.613,FALSE,FALSE
02,2009,Alaska,0.543,FALSE,FALSE
02,2010,Alaska,0.611,FALSE,FALSE
02,2011,Alaska,0.627,FALSE,FALSE
02,2012,Alaska,0.607,FALSE,FALSE
02,2013,Alaska,0.576,FALSE,FALSE
02,2014,Alaska,0.618,FALSE,FALSE
02,2015,Alaska,0.551,FALSE,FALSE
02,2016,Alaska,0.572,FALSE,FALSE
04,1980,Arizona,0.563,FALSE,FALSE
04,1981,Arizona,0.598,FALSE,FALSE
04,1982,Arizona,0.541,FALSE,FALSE
04,1983,Arizona,0.554,FALSE,FALSE
04,1984,Arizona,0.567,FALSE,FALSE
04,1985,Arizona,0.538,FALSE,FALSE
04,1986,Arizona,0.549,FALSE,FALSE
04,1987,Arizona,0.564,FALSE,FALSE
04,1988,Arizona,0.557,FALSE,FALSE
04,1989,Arizona,0.624,FALSE,FALSE
04,1990,Arizona,0.598,FALSE,FALSE
04,1991,Arizona,0.564,FALSE,FALSE
04,1992,Arizona,0.547,FALSE,FALSE
04,1993,Arizona,0.53,FALSE,FALSE
04,1994,Arizona,0.505,FALSE,FALSE
04,1995,Arizona,0.532,FALSE,FALSE
04,1996,Arizona,0.449,FALSE,FALSE
04,1997,Arizona,0.465,FALSE,FALSE
04,1998,Arizona,0.467,FALSE,FALSE
04,1999,Arizona,0.409,FALSE,FALSE
04,2000,Arizona,0.427,FALSE,FALSE
04,2001,Arizona,0.35,FALSE,FALSE
04,2002,Arizona,0.381,FALSE,FALSE
04,2003,Arizona,0.393,FALSE,FALSE
04,2004,Arizona,0.368,FALSE,FALSE
04,2005,Arizona,0.373,FALSE,FALSE
04,2006,Arizona,0.385,FALSE,FALSE
04,2007,Arizona,0.38,FALSE,FALSE
04,2008,Arizona,0.382,FALSE,FALSE
04,2009,Arizona,0.396,FALSE,FALSE
04,2010,Arizona,0.346,FALSE,FALSE
04,2011,Arizona,0.329,FALSE,FALSE
04,2012,Arizona,0.415,FALSE,FALSE
04,2013,Arizona,0.366,FALSE,FALSE
04,2014,Arizona,0.385,FALSE,FALSE
04,2015,Arizona,0.36,FALSE,FALSE
04,2016,Arizona,0.36,FALSE,FALSE
05,1980,Arkansas,0.693,FALSE,FALSE
05,1981,Arkansas,0.639,FALSE,FALSE
05,1982,Arkansas,0.674,FALSE,FALSE
